attack_id,ap,baseline_score,best_score,baseline_n_findings,best_n_findings,semantic
a10,AP01,0.1111111111111111,0.16666666666666666,4,3,full
a10,AP05,0.07142857142857142,0.16666666666666666,6,2,full
a10,AP07,0.16666666666666666,0.16666666666666666,2,3,full
a10,AP08,0.16666666666666666,0.2,3,2,full
a12,AP01,,0.25,,1,n/a (permission gap is the test)
a12,AP05,,0.16666666666666666,,3,n/a (permission gap is the test)
a12,AP07,,0.08333333333333333,,5,n/a (permission gap is the test)
a12,AP08,,0.16666666666666666,,3,n/a (permission gap is the test)
a2,AP01,0.1111111111111111,0.14285714285714285,3,4,full
a2,AP05,0.09090909090909091,0.14285714285714285,6,4,full
a2,AP07,0.125,0.14285714285714285,4,3,full
a2,AP08,0.125,0.14285714285714285,4,3,full
a3,AP01,0.09090909090909091,0.2,5,2,full
a3,AP05,0.09090909090909091,0.125,4,3,full
a3,AP07,0.1,0.16666666666666666,4,3,full
a3,AP08,0.16666666666666666,0.1111111111111111,2,4,full
a5,AP01,1.0,0.125,0,5,full
a5,AP05,0.1,0.14285714285714285,5,3,full
a5,AP07,0.14285714285714285,0.14285714285714285,3,3,full
a5,AP08,0.16666666666666666,0.16666666666666666,3,2,full
a6,AP01,0.125,0.1111111111111111,3,4,full
a6,AP05,0.125,1.0,4,0,lost
a6,AP07,0.1111111111111111,0.1111111111111111,4,4,full
a6,AP08,0.14285714285714285,0.14285714285714285,4,4,full
a7,AP01,0.1111111111111111,0.1111111111111111,4,4,full
a7,AP05,0.16666666666666666,0.16666666666666666,2,4,full
a7,AP07,0.125,0.16666666666666666,3,2,full
a7,AP08,0.2,0.16666666666666666,2,2,?
a8,AP01,0.1111111111111111,0.1,6,6,full
a8,AP05,0.1111111111111111,0.14285714285714285,5,4,full
a8,AP07,0.14285714285714285,0.14285714285714285,3,3,full
a8,AP08,0.1111111111111111,0.16666666666666666,5,3,full
a9,AP01,0.14285714285714285,,,,?
a9,AP05,0.125,,,,?
a9,AP07,0.1111111111111111,1.0,4,0,full
